one	bir
here	burada
happy	mutlu
bottom	dip
minute	dakika
man	erkek
keep	saklamak
the	o
moment	an
slowly	yavasca
star	yildiz
animal	hayvan
soldier	asker
add	eklemek
leave	terketmek
Japanese	Japon
from	tarafindan
seed	tohumlar
woman	kadin
fit	uymak
perhaps	belki
adjective	sifat
almost	neredeyse
top	ust
above	ustunde
finished	bitmis
row	satir
little	kucuk

enjoy	eglenmek
send	gondermek
division	bolum
horse	at
race	yaris
understand	anlamak
began	baslamak (gecmis zaman)

run	kosmak
as	iken
appear	gozukmek
last	son
him	O (erkek)
want	istemek
music	muzik
we	biz
call	aramak
also	ayrica
he	erkek

seen	gorunmek
chart	tablo
every	hepsi
until	-e kadar
birds	kuslar
really	gercekten
jump	ziplamak
century	yuzyil
we'll	biz (gelecek zaman)
check	kontrol etmek
most	en fazla
major	major
melody	melodi
steel	celik
more	daha
often	sikca
king	kral
behind	arka
board	tablo
explain	aciklamak
beautiful	guzel
rule	kural
live	yasamak
flat	duz
table	masa
not	hayir
southern	guneyli
morning	gunduz
phrase	cumle parcasi
shape	sekil
cut	kesmek
lay	uzanmak
thus	nitekim
ask	sormak
someone	birisi
so	soyle
action	aksiyon
level	seviye
done	yapmak (gecmis)
earth	toprak, dunya
halt	durmak
everyone	herkes
carry	tasimak
ice	buz
warm	sicak
might	belki
get	almak
chief	sef
sky	hava
far	uzak
consider	dusunmek
element	element
fresh	taze
does	yapmak
lost	kayip
sun	gunes
long	uzun
serve	hizmet etmek
case	dava, kilif
sleep	uyku
egg	yumurta
sometimes	bazen
brother	erkek kardes
written yazili
quickly	hizlica
help	yardim
size	boyut
didn't	yapmadi
talk	konusmak
observe	gozlemlemek
village	koy
on	acik
try	denemek
past	gecmis
party	parti
different	farkli
tied	bagli
under	altinda
love	sevmek
front	on
himself	kendisi (erkek)
brought	getirilmis
France	Fransa

report	rapor
wood agac
ten	on
small	kucuk
up	yukari
said	dedi
whole	butun
our	bizim
dark	karanlik
floor	zemin
common	ortak
ahead	onunde
together	birlikte
later	sonra
apple	elma
able yapabilen
sand	kum
bill	fatura
east	dogu
eat	yemek
fell	dusmus
house	ev
doesn't	yapmamak
back	arka
surprise	supriz
finally	nihayetinde
need	ihtiyac duymak
out	disari
history	tarih
sat	oturdu
substance	madde
branch	dal
string	dizi
huge	dev
eight	sekiz
start	baslamak
any	herhangi
famous	unlu
reason	sebep
rich	zengin
bed	yatak
near	yaninda
measure	olcu
age	yas

bear	ayi
two	iki
crowd	kalabalik
see	gormek
big	buyuk
thousands	binlerce
wheel	tekerlek
coast	kiyi
ball	top
factoriy	fabrika
current	mevcut
shoes	ayakkabi
I'll	ben (gelecekte)
lake	gol
area	bolge
box	kutu
piece	parca
spread	yayilmak
subject	konu
pound	agirlik birimi
still	halen

red	kirmizi
French	Fransiz
boat	bot
cotton	pamuk
rather	-dense
miss	ozlemek
always	her zaman
tool	alet
poor	fakir

scale	olcek
soil	toprak
exactly	aynen
ready	hazir
figure	figur
exercise	egzersiz
brown	kahverengi
food	yemek
wrong yanlis

experiment	deney
bell	zil
three	uc
complete	tamamlanmis
land	arazi
period	nokta
information	bilgi
night	gece
travel	yolculuk
tell	soylemek
maybe	belki
thought	dusunce
hear	duymak
school	okul
knew	bilmek (gecmis)
whether	eger
fun	eglence
kill	oldurmek
beside	yaninda
short	kisa
experience	tecrube
answer	cevap
climb	tirmanmak
cover	kapsamak
mile	mil
yet henuz
hot	sicak
everything	her sey
own	sahip olmak
thin	ince
among	arasinda
enter	girmek
radio	radyo
too	cok
know	bilmek
why	neden?
key	anahtar
line	cizgi
speed	hiz
suggested	tavsiye edilmis
sure	emin
part	bolum
leg	ayak
government	hukumet
wait	beklemek
should	zorunda olmak
care	onemsemek
wear	giymek
was	olmak (gecmis)
country	ulke
settled	ayarlanmis
cry	aglamak
wing	kanat
America	Amerika
black	siyah
kept	saklanmis
anything	hicbir sey
person	insan
spell	hecelemek
went	gitmek (gecmis)
hope	umut
city	sehir
pair	cift
fear	korku
life	hayat
drive	araba kullanmak
similar	benzer
British	Britanyali
decide	karar vermek
metal	metal
free	bedava
iron	demir
did	yapti
sight	gorus
without	olmadan
hundred	yuz (sayi)
seat	koltuk
what	ne?
tree	agac daragaci
flowers	cicekler
nose	burun
modern	modern
correct	dogru
sense	his
another	diger
died	oldu
rose	gul
blue	mavi
move	hareket etmek
verb	fiil
name	isim
gun	silah
difference	fark
heart	kalp
test	denemek
gave	verdi
machine	makine
term	donem
deep	derin
important	onemli
gone	gitmis

science	bilim
book	kitap
very	cok
of	-den, -dan
trouble	sorun
order	duzen
equation	denklem
church	kilise
note	not
eye	goz
count	saymak
engine	motor
force	guc
cent	sent, para birimi
instead	yerine
turn	donus
page	sayfa
tone	ton
sleep	uyku
develope	gelistirmek
bring	getirmek
hit	vurmak
color	renk
step	adim
ship	gemi
fly	ucmak
describe	aciklamak
insect	bocek
wild	vahsi
where	nerede?
cloud	bulut
world dunya
gold	altin
war	savas

clean	temiz
stop	durmak
act	hareket, eylem
rise	yukselmek
show	gostermek
true	dogru
else	diger
lie	yalan soylemek
shown	gosterilmis
corn	misir
forward	ileri
sit	oturmak
high	yuksek
yourself kendincell	hucre
block	engellemek, bloklamak
pretty	guzel
﻿a bir
rock	kaya
idea	fikir
point	puan
fish	balik
beat	yenmek
feel	hissetmek
create	olusturmak
voice	ses
human	insan
hunting	avlanma
waves	dalgalar
better	daha iyi
student	ogrenci
pay	odemek
notice	farketmek
kind	kibar
stand	ayakta durmak
example	ornek
face	yuz
touch	dokunmak
interesting	ilginc
boy	erkek cocuk
go	gitmek
ring	zil calmak
isn't	olmamak
must	zorunda olmak
noun	isim
have	sahip olmak
rest	dinlenmek
dead	olu
bone	kemik
found	bulunmus
game	oyun
by	tarafindan
heavy	agir
paragraph	paragraf
receive	almak
however	ancak
list	liste
wasn't	olmamak (gecmis)
dictionary	sozluk
between	arasinda
contain	icermek
it	o (hayvan veya cansiz)
milk	sut
course	kurs
train	tren
center	merkez
plain	duz
told	soyledi
when	ne zaman?
mean	anlam
amount	miktar
fast	hizli
separate	ayri
guess	tahmin etmek
low	dusuk
continue	devam etmek
sail	yelken acmak
study	calismak
England	İngiltere
blood	kan
region	bolge
northern	kuzeyli
usually	genellikle
off	kapali
island	ada
at	-de, -da
increase	yukselmek
don't	yapmamak
base	temel
there	orada
signal	sinyal
express	ekspres
language	dil
cattle	inek
buy	satin almak
symbols	sembol
her	O (kadin)
listen	dinlemek
an	bir tek
unit	unite
agreed	anlasildi, kararlastirildi
property	mulk
blow	patlatmak
Europe	Avrupa
represent	temsil etmek
remember	hatirlamak
rhythm	ritim
gas	gaz
drop	dusmek
come	gelmek
special	ozel
time	zaman
outside	disarisi
seem	gorunmek
save	kurtarmak
exciting	heyecan verici
ride	binmek
full	tam
captain	yuzbasi, kaptan
swim	yuzmek
couldn't	yapamamak (gecmis)
equal	esit
law	kanun
me	ben
weather	hava

window	pencere
dress	elbise
been	olmak (gecmis zaman, pasif)
position	pozisyon
indicate	gostermek
bank	banka
fact	gercek
president	baskan
raise	yukseltmek
meet	tanismak
being	olmak (simdiki zaman)
begin	baslamak
ran	kosmak (gecmis)
practice	pratik
material	materyal
chance	sans
control	kontrol
wash	yikamak
themselves	onlarin kendisi
tail	kuyruk
girl	kiz
sent	gonderilmis
road	yol
sir	efendi
month	ay
crop	ekin
root	kok
mine	maden
work is
opposite	zit
became	olmak (gecmis zaman)
hard	zor
distance	mesafe
trade	ticaret
death	olum
catch	yakalamak
effect	etki
but	fakat
broken	kirik
shout	bagirmak
us	biz
farm	ciftlik
shop	dukkan
length	uzunluk
nation	millet
water	su

store	dukkan
paper	kagit
felt	hissetmis
few	birkac
result	sonuc
temperature	sicaklik
day	gun
carefully	dikkatlice
entire	tum
design	tasarim
picture	resim
strange	garip
truck	kamyon
during	boyunca
belong	ait olmak
view	gorus
foot	ayak
who	kim?
tiny	kucucuk
itself	kendisi (hayvan veya cansiz)
job	is
now	simdi
cause	sebep
become	olmak
expect	beklemek, ummak
total	toplam
tube	tup
smile	gulumsemek
happen	olmak
friends	arkadaslar
business	isletme
look	bakmak
record	kayit
song	sarki
office	ofis
addition	ek olarak
general	genel
along	boyunca
straight	duz
laugh	gulmek
find	bulmak
various	cesitli
strong	guclu
power	guc
before	once
would istemek
industry	endustri
thick	kalin
though	-e ragmen
around	etraf
known	bilinmis
fruit	meyve
same	ayni
door	kapi
ocean	okyanus
lot	cok
through	arasindan
which	hangisi?
enough	yeterli

old	yasli
forest	orman
these	bunlar
map	harita
story	hikaye
natural	dogal
discover	kesfetmek
mother	anne
summer	yaz
caught	yakalamak (gecmis zaman)
do	yapmak
quiet	sessiz
garden	bahce
please	lutfen
English	İngiliz
heard	duydu
second	saniye
number	sayi
track	takip etmek
suffix	son ek
you're sen (olmak)
snow	kar
